estado;cidade;populacao;pib;pib_percapita;sigla;regiao
BAHIA;Contendas do Sincora;3886;18747.91796875;4824.47998047;BA;NORDESTE
BAHIA;Morpara;8871;34771.55859375;3919.68994141;BA;NORDESTE
BAHIA;Pau Brasil;12342;41465.12109375;3359.67993164;BA;NORDESTE
BAHIA;Sao Desiderio;27513;981035.875;35657.1796875;BA;NORDESTE
BAHIA;Aurelino Leal;14280;57520.3515625;4028.04003906;BA;NORDESTE
BAHIA;Conde;23166;88530.46875;3821.57006836;BA;NORDESTE
BAHIA;Belmonte;22553;136881.390625;6069.31982422;BA;NORDESTE
BAHIA;Pojuca;32225;688526.25;21366.2109375;BA;NORDESTE
BAHIA;Banzae;11157;36750.9375;3293.97998047;BA;NORDESTE
BAHIA;Itubera;24169;132642.828125;5488.14013672;BA;NORDESTE
BAHIA;Eunapolis;99553;1228962.0;12344.79980469;BA;NORDESTE
BAHIA;Manoel Vitorino;14138;49992.703125;3536.05004883;BA;NORDESTE
BAHIA;Santo Estevao;46855;264766.96875;5650.77001953;BA;NORDESTE
BAHIA;Novo Horizonte;11092;37422.05078125;3373.79003906;BA;NORDESTE
BAHIA;Dom Macedo Costa;3951;16689.80078125;4224.20019531;BA;NORDESTE
BAHIA;Ponto Novo;14734;59006.53125;4004.79003906;BA;NORDESTE
BAHIA;Botupora;11048;37949.63671875;3434.97998047;BA;NORDESTE
BAHIA;Santa Maria da Vitoria;41758;183714.421875;4399.5;BA;NORDESTE
BAHIA;Paripiranga;29727;130894.5703125;4403.22021484;BA;NORDESTE
BAHIA;Capela do Alto Alegre;12824;39229.1484375;3059.04003906;BA;NORDESTE
BAHIA;Jandaira;10018;47592.953125;4750.74023438;BA;NORDESTE
BAHIA;Piata;18470;61809.6015625;3346.48999023;BA;NORDESTE
BAHIA;Aratuipe;8822;31970.6171875;3623.95996094;BA;NORDESTE
BAHIA;Antonio Cardoso;12589;52209.5390625;4147.22998047;BA;NORDESTE
BAHIA;Coracao de Maria;23774;98000.1328125;4122.16015625;BA;NORDESTE
BAHIA;Itajuipe;20490;114653.1328125;5595.56982422;BA;NORDESTE
BAHIA;Serra Dourada;17858;73857.125;4135.79980469;BA;NORDESTE
BAHIA;Conceicao da Feira;20117;91810.5546875;4563.83007812;BA;NORDESTE
BAHIA;Rio do Pires;11612;36504.28125;3143.66992188;BA;NORDESTE
BAHIA;Antas;17583;54676.39453125;3109.62011719;BA;NORDESTE
BAHIA;Buerarema;20830;100712.015625;4834.95019531;BA;NORDESTE
BAHIA;Boquira;22521;67164.5625;2982.31005859;BA;NORDESTE
BAHIA;Palmas de Monte Alto;22061;77169.4921875;3498.01000977;BA;NORDESTE
BAHIA;Santa Brigida;15652;52940.23828125;3382.33007812;BA;NORDESTE
BAHIA;Itapebi;12003;170321.296875;14189.88964844;BA;NORDESTE
BAHIA;Rafael Jambeiro;24004;96287.0234375;4011.29003906;BA;NORDESTE
BAHIA;Boninal;13857;40729.69921875;2939.29003906;BA;NORDESTE
BAHIA;Malhada;16739;65119.53125;3890.29003906;BA;NORDESTE
BAHIA;Nova Canaa;20311;66926.8984375;3295.11010742;BA;NORDESTE
BAHIA;Utinga;20448;83166.9765625;4067.23999023;BA;NORDESTE
BAHIA;Uibai;14203;45636.62109375;3213.16992188;BA;NORDESTE
BAHIA;Potiragua;9656;42641.50390625;4416.06005859;BA;NORDESTE
BAHIA;Encruzilhada;20720;109143.96875;5267.56982422;BA;NORDESTE
BAHIA;Tapiramuta;17879;73053.015625;4085.9699707;BA;NORDESTE
BAHIA;Vereda;7346;48446.7578125;6594.97998047;BA;NORDESTE
BAHIA;Barro Preto;6417;27834.43945312;4337.60986328;BA;NORDESTE
BAHIA;Ipupiara;9325;31431.71484375;3370.68994141;BA;NORDESTE
BAHIA;Itagi;14162;52461.01171875;3704.35009766;BA;NORDESTE
BAHIA;Mucuge;14714;229213.171875;15577.90039062;BA;NORDESTE
BAHIA;Iraquara;24415;105232.5078125;4310.16015625;BA;NORDESTE
BAHIA;Jacaraci;14837;49422.328125;3331.02001953;BA;NORDESTE
BAHIA;Itacare;27170;102075.2734375;3756.90991211;BA;NORDESTE
BAHIA;Itororo;20930;77047.1640625;3681.17993164;BA;NORDESTE
BAHIA;Ourolandia;17080;76238.53125;4463.60986328;BA;NORDESTE
BAHIA;Aracatu;14316;43216.1328125;3018.72998047;BA;NORDESTE
BAHIA;Vitoria da Conquista;318901;3142676.75;9854.70996094;BA;NORDESTE
BAHIA;Condeuba;17210;64649.53125;3756.51000977;BA;NORDESTE
BAHIA;Jacobina;79013;523242.1875;6622.22998047;BA;NORDESTE
BAHIA;Mascote;16590;57532.8671875;3467.91992188;BA;NORDESTE
BAHIA;Cardeal da silva;8618;48083.140625;5579.39013672;BA;NORDESTE
BAHIA;Jaguaquara;48206;246394.6875;5111.29003906;BA;NORDESTE
BAHIA;Gandu;31819;173949.265625;5466.83984375;BA;NORDESTE
BAHIA;Itaguacu da Bahia;13269;49661.08984375;3742.63989258;BA;NORDESTE
BAHIA;Candido Sales;27180;93716.921875;3448.01000977;BA;NORDESTE
BAHIA;Cicero Dantas;31832;119276.578125;3747.07006836;BA;NORDESTE
BAHIA;Barra do Mendes;14459;49816.65234375;3445.37011719;BA;NORDESTE
BAHIA;Jequie;150541;1552451.5;10312.48046875;BA;NORDESTE
BAHIA;Apora;18738;55787.8046875;2977.26000977;BA;NORDESTE
BAHIA;Guaratinga;22960;102757.34375;4475.49023438;BA;NORDESTE
BAHIA;Maracas;35990;125397.140625;3484.2199707;BA;NORDESTE
BAHIA;Lafaiete Coutinho;3502;17013.38867188;4858.18994141;BA;NORDESTE
BAHIA;Taperoa;19388;80988.609375;4177.25;BA;NORDESTE
BAHIA;Santa Luzia;15613;51422.97265625;3293.60009766;BA;NORDESTE
BAHIA;Conceicao do Coite;62893;292867.1875;4656.58984375;BA;NORDESTE
BAHIA;Biritinga;14260;53547.6875;3755.10009766;BA;NORDESTE
BAHIA;Ibipeba;17666;58437.6796875;3307.91992188;BA;NORDESTE
BAHIA;Anage;25262;74545.8046875;2950.90991211;BA;NORDESTE
BAHIA;Irece;66061;415895.0;6295.62011719;BA;NORDESTE
BAHIA;Medeiros Neto;22752;148739.390625;6537.41992188;BA;NORDESTE
BAHIA;Planalto;22151;110698.2578125;4997.43994141;BA;NORDESTE
